file,asset_id,bom_ref,component,version,known_cves
ICS-0003_siemens_simatic-s7-400-cpu-414-3_SBOM.json,ICS-0003,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.66,CVE-2020-11896;CVE-2020-11897;CVE-2020-11901
ICS-0003_siemens_simatic-s7-400-cpu-414-3_SBOM.json,ICS-0003,pkg:oss:expat,Expat,2.2.0,CVE-2018-20843;CVE-2019-15903
ICS-0003_siemens_simatic-s7-400-cpu-414-3_SBOM.json,ICS-0003,pkg:oss:libmodbus,libmodbus,3.0.6,CVE-2019-14462;CVE-2019-14463
ICS-0004_rockwell_controllogix-controller-1756-l71_SBOM.json,ICS-0004,pkg:oss:zlib,zlib,1.2.12,CVE-2022-37434
ICS-0004_rockwell_controllogix-controller-1756-l71_SBOM.json,ICS-0004,pkg:oss:sqlite,SQLite,3.39.4,CVE-2022-46908;CVE-2023-7104
ICS-0004_rockwell_controllogix-controller-1756-l71_SBOM.json,ICS-0004,pkg:oss:expat,Expat,2.2.0,CVE-2018-20843;CVE-2019-15903
ICS-0004_rockwell_controllogix-controller-1756-l71_SBOM.json,ICS-0004,pkg:oss:net-snmp,Net-SNMP,5.9.1,CVE-2022-24805;CVE-2022-24809
ICS-0004_rockwell_controllogix-controller-1756-l71_SBOM.json,ICS-0004,pkg:oss:libxml2,libxml2,2.9.14,CVE-2022-40303;CVE-2022-40304;CVE-2023-28484
ICS-0004_rockwell_controllogix-controller-1756-l71_SBOM.json,ICS-0004,pkg:oss:ntp,NTP Daemon,4.2.8p10,CVE-2018-7182;CVE-2018-7183;CVE-2018-7184
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,pkg:oss:zlib,zlib,1.2.12,CVE-2022-37434
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,pkg:oss:libxml2,libxml2,2.9.10,CVE-2021-3517;CVE-2021-3518;CVE-2022-29824
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,pkg:oss:openssl,OpenSSL,3.0.7,CVE-2023-0286;CVE-2023-0215;CVE-2022-4304
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,pkg:oss:ipnet,Interpeak IPnet TCP/IP Stack,7.0,CVE-2019-12258;CVE-2019-12259;CVE-2019-12262
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,pkg:oss:libmodbus,libmodbus,3.1.4,CVE-2019-14462;CVE-2019-14463
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,pkg:oss:libcurl,libcurl,7.64.0,CVE-2019-5481;CVE-2019-5482;CVE-2020-8177
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,pkg:oss:sqlite,SQLite,3.41.2,CVE-2023-7104
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,pkg:oss:net-snmp,Net-SNMP,5.8,CVE-2020-15861;CVE-2020-15862;CVE-2022-24805
ICS-0006_rockwell_micrologix-controller-1400-b_SBOM.json,ICS-0006,pkg:oss:expat,Expat,2.2.10,CVE-2022-22822;CVE-2022-23852;CVE-2022-25235
ICS-0006_rockwell_micrologix-controller-1400-b_SBOM.json,ICS-0006,pkg:oss:mbedtls,Mbed TLS,2.28.0,CVE-2022-35409;CVE-2023-43615
ICS-0006_rockwell_micrologix-controller-1400-b_SBOM.json,ICS-0006,pkg:oss:lwip,lwIP,2.0.3,CVE-2020-22283;CVE-2020-22284;CVE-2020-22288
ICS-0006_rockwell_micrologix-controller-1400-b_SBOM.json,ICS-0006,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.67,CVE-2020-11898;CVE-2020-11900
ICS-0006_rockwell_micrologix-controller-1400-b_SBOM.json,ICS-0006,pkg:oss:openssl,OpenSSL,3.0.7,CVE-2023-0286;CVE-2023-0215;CVE-2022-4304
ICS-0006_rockwell_micrologix-controller-1400-b_SBOM.json,ICS-0006,pkg:oss:wolfssl,wolfSSL,5.5.0,CVE-2022-42905;CVE-2023-3724
ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM.json,ICS-0007,pkg:oss:zlib,zlib,1.2.12,CVE-2022-37434
ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM.json,ICS-0007,pkg:oss:libxml2,libxml2,2.9.14,CVE-2022-40303;CVE-2022-40304;CVE-2023-28484
ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM.json,ICS-0007,pkg:oss:libcurl,libcurl,7.29.0,CVE-2016-8615;CVE-2018-1000120;CVE-2019-5482
ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM.json,ICS-0007,pkg:oss:expat,Expat,2.5.0,CVE-2023-52425
ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM.json,ICS-0007,pkg:oss:sqlite,SQLite,3.31.1,CVE-2020-13434;CVE-2020-13630;CVE-2021-20227
ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM.json,ICS-0007,pkg:oss:ipnet,Interpeak IPnet TCP/IP Stack,6.9,CVE-2019-12255;CVE-2019-12256;CVE-2019-12257;CVE-2019-12260
ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM.json,ICS-0007,pkg:oss:codesys-rt,CODESYS Control Runtime System,3.5.16.0,CVE-2021-30186;CVE-2021-30188;CVE-2021-30189
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,pkg:oss:expat,Expat,2.4.1,CVE-2022-25236;CVE-2022-25315
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,pkg:oss:open62541,open62541 OPC UA Stack,1.2.2,CVE-2021-40206;CVE-2022-25761
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,pkg:oss:nginx,nginx,1.18.0,CVE-2021-23017;CVE-2022-41741;CVE-2022-41742
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,pkg:oss:libxml2,libxml2,2.9.14,CVE-2022-40303;CVE-2022-40304;CVE-2023-28484
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,pkg:oss:glibc,GNU C Library,2.17,CVE-2015-7547;CVE-2018-11236;CVE-2021-3999
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,pkg:oss:dnsmasq,dnsmasq,2.86,CVE-2022-0934;CVE-2023-28450
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,pkg:oss:wpa-supplicant,wpa_supplicant,2.6,CVE-2017-13077;CVE-2017-13078;CVE-2018-14526
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,pkg:oss:codesys-rt,CODESYS Control Runtime System,3.5.18.20,CVE-2023-37559;CVE-2023-37560
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,pkg:oss:ntp,NTP Daemon,4.2.8p15,CVE-2023-26551
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,pkg:oss:zlib,zlib,1.2.8,CVE-2016-9840;CVE-2016-9841;CVE-2018-25032
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,pkg:oss:openssl,OpenSSL,1.1.1k,CVE-2021-3711;CVE-2021-3712;CVE-2022-0778
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,pkg:oss:expat,Expat,2.4.1,CVE-2022-25236;CVE-2022-25315
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,pkg:oss:lwip,lwIP,2.1.2,CVE-2020-22283;CVE-2020-22285;CVE-2020-22286
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.67,CVE-2020-11898;CVE-2020-11900
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,pkg:oss:libmodbus,libmodbus,3.1.4,CVE-2019-14462;CVE-2019-14463
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,pkg:oss:mbedtls,Mbed TLS,2.16.3,CVE-2020-10932;CVE-2020-16150;CVE-2021-24119
ICS-0010_mitsubishi_melsec-q-series-cpu-q03ude_SBOM.json,ICS-0010,pkg:oss:lwip,lwIP,1.4.1,CVE-2014-1912;CVE-2020-22283;CVE-2020-22284
ICS-0010_mitsubishi_melsec-q-series-cpu-q03ude_SBOM.json,ICS-0010,pkg:oss:mbedtls,Mbed TLS,2.16.3,CVE-2020-10932;CVE-2020-16150;CVE-2021-24119
ICS-0010_mitsubishi_melsec-q-series-cpu-q03ude_SBOM.json,ICS-0010,pkg:oss:wolfssl,wolfSSL,4.5.0,CVE-2021-3336;CVE-2021-24116
ICS-0010_mitsubishi_melsec-q-series-cpu-q03ude_SBOM.json,ICS-0010,pkg:oss:libmodbus,libmodbus,3.0.6,CVE-2019-14462;CVE-2019-14463
ICS-0011_omron_sysmac-nj-machine-controller-nj101-1000_SBOM.json,ICS-0011,pkg:oss:mbedtls,Mbed TLS,2.16.3,CVE-2020-10932;CVE-2020-16150;CVE-2021-24119
ICS-0011_omron_sysmac-nj-machine-controller-nj101-1000_SBOM.json,ICS-0011,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.66,CVE-2020-11896;CVE-2020-11897;CVE-2020-11901
ICS-0011_omron_sysmac-nj-machine-controller-nj101-1000_SBOM.json,ICS-0011,pkg:oss:zlib,zlib,1.2.11,CVE-2018-25032;CVE-2022-37434
ICS-0011_omron_sysmac-nj-machine-controller-nj101-1000_SBOM.json,ICS-0011,pkg:oss:expat,Expat,2.2.0,CVE-2018-20843;CVE-2019-15903
ICS-0011_omron_sysmac-nj-machine-controller-nj101-1000_SBOM.json,ICS-0011,pkg:oss:libmodbus,libmodbus,3.0.6,CVE-2019-14462;CVE-2019-14463
ICS-0012_omron_sysmac-cj2-plc-cj2m-cpu31_SBOM.json,ICS-0012,pkg:oss:expat,Expat,2.2.10,CVE-2022-22822;CVE-2022-23852;CVE-2022-25235
ICS-0012_omron_sysmac-cj2-plc-cj2m-cpu31_SBOM.json,ICS-0012,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.67,CVE-2020-11898;CVE-2020-11900
ICS-0012_omron_sysmac-cj2-plc-cj2m-cpu31_SBOM.json,ICS-0012,pkg:oss:libmodbus,libmodbus,3.1.4,CVE-2019-14462;CVE-2019-14463
ICS-0012_omron_sysmac-cj2-plc-cj2m-cpu31_SBOM.json,ICS-0012,pkg:oss:mbedtls,Mbed TLS,2.16.3,CVE-2020-10932;CVE-2020-16150;CVE-2021-24119
ICS-0012_omron_sysmac-cj2-plc-cj2m-cpu31_SBOM.json,ICS-0012,pkg:oss:zlib,zlib,1.2.8,CVE-2016-9840;CVE-2016-9841;CVE-2018-25032
ICS-0013_beckhoff_twincat-runtime-controller-cx5140_SBOM.json,ICS-0013,pkg:oss:zlib,zlib,1.2.8,CVE-2016-9840;CVE-2016-9841;CVE-2018-25032
ICS-0013_beckhoff_twincat-runtime-controller-cx5140_SBOM.json,ICS-0013,pkg:oss:libcurl,libcurl,8.4.0,CVE-2023-46218;CVE-2024-2379
ICS-0013_beckhoff_twincat-runtime-controller-cx5140_SBOM.json,ICS-0013,pkg:oss:openssl,OpenSSL,1.0.2k,CVE-2017-3731;CVE-2017-3732;CVE-2016-7055
ICS-0013_beckhoff_twincat-runtime-controller-cx5140_SBOM.json,ICS-0013,pkg:oss:expat,Expat,2.2.0,CVE-2018-20843;CVE-2019-15903
ICS-0013_beckhoff_twincat-runtime-controller-cx5140_SBOM.json,ICS-0013,pkg:oss:sqlite,SQLite,3.39.4,CVE-2022-46908;CVE-2023-7104
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,pkg:oss:wpa-supplicant,wpa_supplicant,2.9,CVE-2021-27803;CVE-2021-30004;CVE-2022-23303
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,pkg:oss:libxml2,libxml2,2.10.4,CVE-2023-45322
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,pkg:oss:busybox,BusyBox,1.35.0,CVE-2022-28391
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,pkg:oss:net-snmp,Net-SNMP,5.9.1,CVE-2022-24805;CVE-2022-24809
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,pkg:oss:openvpn,OpenVPN,2.5.5,CVE-2022-0547;CVE-2023-46849;CVE-2023-46850
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,pkg:oss:linux-kernel,Linux Kernel,5.4.278,CVE-2023-32233;CVE-2024-1086
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,pkg:oss:open62541,open62541 OPC UA Stack,1.2.2,CVE-2021-40206;CVE-2022-25761
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,pkg:oss:dropbear,Dropbear SSH,2019.78,CVE-2018-15599;CVE-2020-36254
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,pkg:oss:codesys-rt,CODESYS Control Runtime System,3.5.16.0,CVE-2021-30186;CVE-2021-30188;CVE-2021-30189
ICS-0015_phoenix_axc-f-2152-controller-axc-f-2152_SBOM.json,ICS-0015,pkg:oss:u-boot,Das U-Boot,2021.10,CVE-2022-30767;CVE-2022-33967
ICS-0015_phoenix_axc-f-2152-controller-axc-f-2152_SBOM.json,ICS-0015,pkg:oss:open62541,open62541 OPC UA Stack,1.2.2,CVE-2021-40206;CVE-2022-25761
ICS-0015_phoenix_axc-f-2152-controller-axc-f-2152_SBOM.json,ICS-0015,pkg:oss:wpa-supplicant,wpa_supplicant,2.10,CVE-2023-52160
ICS-0015_phoenix_axc-f-2152-controller-axc-f-2152_SBOM.json,ICS-0015,pkg:oss:ntp,NTP Daemon,4.2.8p10,CVE-2018-7182;CVE-2018-7183;CVE-2018-7184
ICS-0015_phoenix_axc-f-2152-controller-axc-f-2152_SBOM.json,ICS-0015,pkg:oss:libcurl,libcurl,8.4.0,CVE-2023-46218;CVE-2024-2379
ICS-0015_phoenix_axc-f-2152-controller-axc-f-2152_SBOM.json,ICS-0015,pkg:oss:sqlite,SQLite,3.22.0,CVE-2018-8740;CVE-2019-8457;CVE-2020-11655
ICS-0016_br_x20-controller-x20cp1586_SBOM.json,ICS-0016,pkg:oss:expat,Expat,2.5.0,CVE-2023-52425
ICS-0016_br_x20-controller-x20cp1586_SBOM.json,ICS-0016,pkg:oss:lwip,lwIP,2.1.3,CVE-2023-5188
ICS-0016_br_x20-controller-x20cp1586_SBOM.json,ICS-0016,pkg:oss:wolfssl,wolfSSL,5.5.0,CVE-2022-42905;CVE-2023-3724
ICS-0016_br_x20-controller-x20cp1586_SBOM.json,ICS-0016,pkg:oss:ntp,NTP Daemon,4.2.8p10,CVE-2018-7182;CVE-2018-7183;CVE-2018-7184
ICS-0016_br_x20-controller-x20cp1586_SBOM.json,ICS-0016,pkg:oss:openssl,OpenSSL,1.0.2u,CVE-2021-23840;CVE-2021-3712
ICS-0017_ls-electric_xgt-plc-cpu-xgk-cpuh_SBOM.json,ICS-0017,pkg:oss:ntp,NTP Daemon,4.2.8p13,CVE-2019-8936;CVE-2020-11868
ICS-0017_ls-electric_xgt-plc-cpu-xgk-cpuh_SBOM.json,ICS-0017,pkg:oss:mbedtls,Mbed TLS,2.16.3,CVE-2020-10932;CVE-2020-16150;CVE-2021-24119
ICS-0017_ls-electric_xgt-plc-cpu-xgk-cpuh_SBOM.json,ICS-0017,pkg:oss:libmodbus,libmodbus,3.1.4,CVE-2019-14462;CVE-2019-14463
ICS-0017_ls-electric_xgt-plc-cpu-xgk-cpuh_SBOM.json,ICS-0017,pkg:oss:expat,Expat,2.2.10,CVE-2022-22822;CVE-2022-23852;CVE-2022-25235
ICS-0017_ls-electric_xgt-plc-cpu-xgk-cpuh_SBOM.json,ICS-0017,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.66,CVE-2020-11896;CVE-2020-11897;CVE-2020-11901
ICS-0018_delta_as-series-plc-as228t-a_SBOM.json,ICS-0018,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.66,CVE-2020-11896;CVE-2020-11897;CVE-2020-11901
ICS-0018_delta_as-series-plc-as228t-a_SBOM.json,ICS-0018,pkg:oss:mbedtls,Mbed TLS,2.16.3,CVE-2020-10932;CVE-2020-16150;CVE-2021-24119
ICS-0018_delta_as-series-plc-as228t-a_SBOM.json,ICS-0018,pkg:oss:libmodbus,libmodbus,3.1.4,CVE-2019-14462;CVE-2019-14463
ICS-0018_delta_as-series-plc-as228t-a_SBOM.json,ICS-0018,pkg:oss:ntp,NTP Daemon,4.2.8p10,CVE-2018-7182;CVE-2018-7183;CVE-2018-7184
ICS-0018_delta_as-series-plc-as228t-a_SBOM.json,ICS-0018,pkg:oss:zlib,zlib,1.2.12,CVE-2022-37434
ICS-0019_unitronics_unistream-plc-usp-070-b10_SBOM.json,ICS-0019,pkg:oss:mosquitto,Eclipse Mosquitto,2.0.11,CVE-2021-34431;CVE-2021-41039;CVE-2023-0809
ICS-0019_unitronics_unistream-plc-usp-070-b10_SBOM.json,ICS-0019,pkg:oss:nginx,nginx,1.24.0,CVE-2023-44487
ICS-0019_unitronics_unistream-plc-usp-070-b10_SBOM.json,ICS-0019,pkg:oss:musl,musl libc,1.1.24,CVE-2020-28928
ICS-0019_unitronics_unistream-plc-usp-070-b10_SBOM.json,ICS-0019,pkg:oss:busybox,BusyBox,1.30.1,CVE-2021-42374;CVE-2021-42378;CVE-2021-42386
ICS-0019_unitronics_unistream-plc-usp-070-b10_SBOM.json,ICS-0019,pkg:oss:open62541,open62541 OPC UA Stack,1.2.2,CVE-2021-40206;CVE-2022-25761
ICS-0019_unitronics_unistream-plc-usp-070-b10_SBOM.json,ICS-0019,pkg:oss:ntp,NTP Daemon,4.2.8p15,CVE-2023-26551
ICS-0019_unitronics_unistream-plc-usp-070-b10_SBOM.json,ICS-0019,pkg:oss:sqlite,SQLite,3.22.0,CVE-2018-8740;CVE-2019-8457;CVE-2020-11655
ICS-0020_idec_microsmart-fc6a-plc-fc6a-c40r1ae_SBOM.json,ICS-0020,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.66,CVE-2020-11896;CVE-2020-11897;CVE-2020-11901
ICS-0020_idec_microsmart-fc6a-plc-fc6a-c40r1ae_SBOM.json,ICS-0020,pkg:oss:expat,Expat,2.2.0,CVE-2018-20843;CVE-2019-15903
ICS-0020_idec_microsmart-fc6a-plc-fc6a-c40r1ae_SBOM.json,ICS-0020,pkg:oss:openssl,OpenSSL,1.1.1g,CVE-2020-1971;CVE-2021-3450;CVE-2021-3711
ICS-0021_panasonic_fp7-series-plc-afp7cps41_SBOM.json,ICS-0021,pkg:oss:ntp,NTP Daemon,4.2.8p15,CVE-2023-26551
ICS-0021_panasonic_fp7-series-plc-afp7cps41_SBOM.json,ICS-0021,pkg:oss:expat,Expat,2.2.10,CVE-2022-22822;CVE-2022-23852;CVE-2022-25235
ICS-0021_panasonic_fp7-series-plc-afp7cps41_SBOM.json,ICS-0021,pkg:oss:zlib,zlib,1.2.12,CVE-2022-37434
ICS-0021_panasonic_fp7-series-plc-afp7cps41_SBOM.json,ICS-0021,pkg:oss:openssl,OpenSSL,1.0.2u,CVE-2021-23840;CVE-2021-3712
ICS-0022_keyence_kv-8000-plc-kv-8000_SBOM.json,ICS-0022,pkg:oss:openssl,OpenSSL,1.1.1g,CVE-2020-1971;CVE-2021-3450;CVE-2021-3711
ICS-0022_keyence_kv-8000-plc-kv-8000_SBOM.json,ICS-0022,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.67,CVE-2020-11898;CVE-2020-11900
ICS-0022_keyence_kv-8000-plc-kv-8000_SBOM.json,ICS-0022,pkg:oss:expat,Expat,2.2.0,CVE-2018-20843;CVE-2019-15903
ICS-0022_keyence_kv-8000-plc-kv-8000_SBOM.json,ICS-0022,pkg:oss:ntp,NTP Daemon,4.2.8p10,CVE-2018-7182;CVE-2018-7183;CVE-2018-7184
ICS-0022_keyence_kv-8000-plc-kv-8000_SBOM.json,ICS-0022,pkg:oss:wolfssl,wolfSSL,5.5.0,CVE-2022-42905;CVE-2023-3724
ICS-0023_fuji_micrex-sx-plc-np1ps-245r_SBOM.json,ICS-0023,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.66,CVE-2020-11896;CVE-2020-11897;CVE-2020-11901
ICS-0023_fuji_micrex-sx-plc-np1ps-245r_SBOM.json,ICS-0023,pkg:oss:zlib,zlib,1.2.8,CVE-2016-9840;CVE-2016-9841;CVE-2018-25032
ICS-0023_fuji_micrex-sx-plc-np1ps-245r_SBOM.json,ICS-0023,pkg:oss:wolfssl,wolfSSL,5.5.0,CVE-2022-42905;CVE-2023-3724
ICS-0023_fuji_micrex-sx-plc-np1ps-245r_SBOM.json,ICS-0023,pkg:oss:openssl,OpenSSL,1.1.1g,CVE-2020-1971;CVE-2021-3450;CVE-2021-3711
ICS-0023_fuji_micrex-sx-plc-np1ps-245r_SBOM.json,ICS-0023,pkg:oss:expat,Expat,2.2.10,CVE-2022-22822;CVE-2022-23852;CVE-2022-25235
ICS-0023_fuji_micrex-sx-plc-np1ps-245r_SBOM.json,ICS-0023,pkg:oss:libmodbus,libmodbus,3.0.6,CVE-2019-14462;CVE-2019-14463
ICS-0023_fuji_micrex-sx-plc-np1ps-245r_SBOM.json,ICS-0023,pkg:oss:ntp,NTP Daemon,4.2.8p13,CVE-2019-8936;CVE-2020-11868
ICS-0023_fuji_micrex-sx-plc-np1ps-245r_SBOM.json,ICS-0023,pkg:oss:lwip,lwIP,2.0.3,CVE-2020-22283;CVE-2020-22284;CVE-2020-22288
ICS-0024_codesys_codesys-control-runtime-for-linux-sl_SBOM.json,ICS-0024,pkg:oss:ntp,NTP Daemon,4.2.8p15,CVE-2023-26551
ICS-0024_codesys_codesys-control-runtime-for-linux-sl_SBOM.json,ICS-0024,pkg:oss:net-snmp,Net-SNMP,5.9.1,CVE-2022-24805;CVE-2022-24809
ICS-0024_codesys_codesys-control-runtime-for-linux-sl_SBOM.json,ICS-0024,pkg:oss:libcurl,libcurl,8.0.1,CVE-2023-27533;CVE-2023-27536;CVE-2023-38545
ICS-0024_codesys_codesys-control-runtime-for-linux-sl_SBOM.json,ICS-0024,pkg:oss:nginx,nginx,1.18.0,CVE-2021-23017;CVE-2022-41741;CVE-2022-41742
ICS-0024_codesys_codesys-control-runtime-for-linux-sl_SBOM.json,ICS-0024,pkg:oss:openssh,OpenSSH,8.2p1,CVE-2020-15778;CVE-2021-41617;CVE-2023-48795
ICS-0024_codesys_codesys-control-runtime-for-linux-sl_SBOM.json,ICS-0024,pkg:oss:mosquitto,Eclipse Mosquitto,2.0.11,CVE-2021-34431;CVE-2021-41039;CVE-2023-0809
ICS-0024_codesys_codesys-control-runtime-for-linux-sl_SBOM.json,ICS-0024,pkg:oss:codesys-rt,CODESYS Control Runtime System,3.5.19.20,CVE-2023-3663;CVE-2023-3665
ICS-0025_abb_rtu560-telecontrol-unit-560cmu05_SBOM.json,ICS-0025,pkg:oss:libpcap,libpcap,1.9.1,CVE-2019-15165;CVE-2023-7256
ICS-0025_abb_rtu560-telecontrol-unit-560cmu05_SBOM.json,ICS-0025,pkg:oss:u-boot,Das U-Boot,2018.03,CVE-2019-11059;CVE-2019-13103;CVE-2019-13106
ICS-0025_abb_rtu560-telecontrol-unit-560cmu05_SBOM.json,ICS-0025,pkg:oss:wpa-supplicant,wpa_supplicant,2.10,CVE-2023-52160
ICS-0025_abb_rtu560-telecontrol-unit-560cmu05_SBOM.json,ICS-0025,pkg:oss:open62541,open62541 OPC UA Stack,1.3.6,CVE-2023-31048
ICS-0025_abb_rtu560-telecontrol-unit-560cmu05_SBOM.json,ICS-0025,pkg:oss:goahead,GoAhead Embedded Web Server,3.6.5,CVE-2017-17562;CVE-2019-5096;CVE-2019-5097
ICS-0025_abb_rtu560-telecontrol-unit-560cmu05_SBOM.json,ICS-0025,pkg:oss:openssl,OpenSSL,1.1.1n,CVE-2022-1292;CVE-2022-2068;CVE-2022-4304
ICS-0025_abb_rtu560-telecontrol-unit-560cmu05_SBOM.json,ICS-0025,pkg:oss:codesys-rt,CODESYS Control Runtime System,3.5.16.0,CVE-2021-30186;CVE-2021-30188;CVE-2021-30189
ICS-0026_schneider_scadapack-rtu-474i_SBOM.json,ICS-0026,pkg:oss:net-snmp,Net-SNMP,5.7.3,CVE-2018-18065;CVE-2019-20892;CVE-2020-15862
ICS-0026_schneider_scadapack-rtu-474i_SBOM.json,ICS-0026,pkg:oss:expat,Expat,2.4.1,CVE-2022-25236;CVE-2022-25315
ICS-0026_schneider_scadapack-rtu-474i_SBOM.json,ICS-0026,pkg:oss:open62541,open62541 OPC UA Stack,1.3.6,CVE-2023-31048
ICS-0026_schneider_scadapack-rtu-474i_SBOM.json,ICS-0026,pkg:oss:sqlite,SQLite,3.41.2,CVE-2023-7104
ICS-0026_schneider_scadapack-rtu-474i_SBOM.json,ICS-0026,pkg:oss:ipnet,Interpeak IPnet TCP/IP Stack,6.9,CVE-2019-12255;CVE-2019-12256;CVE-2019-12257;CVE-2019-12260
ICS-0027_ge_d20-mx-substation-controller-d20mx_SBOM.json,ICS-0027,pkg:oss:sqlite,SQLite,3.22.0,CVE-2018-8740;CVE-2019-8457;CVE-2020-11655
